n_sim,gamma,MSE,se(MSE),theoretical_MSE
1,0.1,0.006122318141504735,0.0,0.11111111111111112
1,0.10009216427327419,0.004565336575669282,0.0,0.11122490581765429
1,0.10018441348908107,0.00631045233751575,0.0,0.11133882874551136
1,0.10027674772570727,0.0035600331782414405,0.0,0.11145288006309807
1,0.10036916706151167,0.0037640723911596848,0.0,0.11156705993910097
1,0.10046167157492526,0.00278514231992369,0.0,0.11168136854247786
1,0.1005542613444514,0.008311566145697348,0.0,0.11179580604245837
1,0.10064693644866575,0.004715340582279699,0.0,0.11191037260854442
1,0.10073969696621637,0.007473394331466399,0.0,0.11202506841051091
1,0.10083254297582392,0.0029833140684973605,0.0,0.11213989361840618
1,0.10092547455628148,0.006957315419366885,0.0,0.11225484840255254
1,0.1010184917864548,0.0035247737701914602,0.0,0.11236993293354679
1,0.10111159474528233,0.005615825176285285,0.0,0.11248514738226084
1,0.10120478351177525,0.007042908945698967,0.0,0.1126004919198423
1,0.1012980581650176,0.0044064309996588325,0.0,0.11271596671771486
1,0.10139141878416626,0.00725619957622538,0.0,0.11283157194757902
1,0.10148486544845108,0.007446674332115176,0.0,0.11294730778141251
1,0.1015783982371749,0.006397083885328096,0.0,0.1130631743914709
1,0.10167201722971377,0.005176829364539107,0.0,0.1131791719502882
1,0.10176572250551676,0.0027031851560864644,0.0,0.11329530063067736
1,0.1018595141441062,0.006152750496878302,0.0,0.1134115606057308
1,0.10195339222507774,0.00591514783964616,0.0,0.113527952048821
1,0.10204735682810033,0.00719642357500338,0.0,0.1136444751336011
1,0.10214140803291648,0.006310782427310558,0.0,0.11376113003400551
1,0.10223554591934204,0.006723932156451997,0.0,0.11387791692425024
1,0.10232977056726651,0.008476410259822102,0.0,0.11399483597883375
1,0.10242408205665299,0.006636040323495492,0.0,0.11411188737253729
1,0.10251848046753824,0.004090888572505506,0.0,0.11422907128042557
1,0.1026129658800329,0.00890542745928749,0.0,0.11434638787784746
1,0.10270753837432131,0.007488167520233016,0.0,0.11446383734043625
1,0.10280219803066182,0.004033905426203789,0.0,0.11458141984411047
1,0.10289694492938668,0.007137850032867857,0.0,0.11469913556507441
1,0.10299177915090217,0.004324339133109163,0.0,0.11481698467981856
1,0.10308670077568877,0.006267186424474566,0.0,0.1149349673651205
1,0.10318170988430102,0.004337880441964852,0.0,0.11505308379804507
1,0.10327680655736778,0.007554127442069907,0.0,0.11517133415594531
1,0.10337199087559217,0.006507235658231506,0.0,0.11528971861646273
1,0.1034672629197517,0.004159254505980166,0.0,0.11540823735752817
1,0.10356262277069839,0.005874026574287889,0.0,0.11552689055736225
1,0.10365807050935869,0.0041927728979397234,0.0,0.11564567839447588
1,0.1037536062167337,0.006446485975880913,0.0,0.11576460104767103
1,0.10384922997389909,0.010470140064077404,0.0,0.11588365869604109
1,0.10394494186200538,0.0031891468421654016,0.0,0.11600285151897174
1,0.10404074196227778,0.00438822820917475,0.0,0.11612217969614126
1,0.10413663035601639,0.008067820247419182,0.0,0.1162416434075213
1,0.10423260712459624,0.005305003856420755,0.0,0.11636124283337741
1,0.10432867234946736,0.00419794080571025,0.0,0.11648097815426962
1,0.10442482611215485,0.006949280752737079,0.0,0.1166008495510531
1,0.10452106849425896,0.0034135826976498655,0.0,0.11672085720487872
1,0.10461739957745511,0.003686492857268122,0.0,0.11684100129719356
1,0.10471381944349403,0.006194444696272876,0.0,0.11696128200974171
1,0.10481032817420176,0.006452018097064582,0.0,0.11708169952456467
1,0.10490692585147982,0.0069361830437035515,0.0,0.11720225402400211
1,0.10500361255730513,0.006044562978894608,0.0,0.11732294569069235
1,0.10510038837373022,0.004115652118970892,0.0,0.11744377470757301
1,0.10519725338288322,0.00439491007770998,0.0,0.1175647412578817
1,0.10529420766696794,0.010115114352497298,0.0,0.11768584552515647
1,0.10539125130826402,0.002849352732570155,0.0,0.11780708769323661
1,0.10548838438912686,0.003558719117060126,0.0,0.11792846794626309
1,0.10558560699198778,0.005350496359831917,0.0,0.11804998646867923
1,0.1056829191993541,0.007743342791574352,0.0,0.11817164344523137
1,0.10578032109380911,0.004077627804063514,0.0,0.11829343906096938
1,0.10587781275801232,0.0034443025000781093,0.0,0.1184153735012475
1,0.10597539427469936,0.0036107070688155625,0.0,0.11853744695172465
1,0.1060730657266821,0.00561803630225827,0.0,0.1186596595983652
1,0.10617082719684875,0.0037365713299931367,0.0,0.11878201162743975
1,0.1062686787681639,0.003685076814742259,0.0,0.11890450322552537
1,0.10636662052366867,0.00715538390343794,0.0,0.1190271345795067
1,0.10646465254648063,0.005139707653682871,0.0,0.11914990587657619
1,0.10656277491979399,0.005337344716303362,0.0,0.11927281730423488
1,0.10666098772687962,0.002228678456815549,0.0,0.11939586905029305
1,0.10675929105108516,0.004052333690421839,0.0,0.11951906130287084
1,0.10685768497583507,0.0019088741400405517,0.0,0.11964239425039885
1,0.10695616958463068,0.007151615476064357,0.0,0.11976586808161882
1,0.10705474496105026,0.004996231056067144,0.0,0.11988948298558415
1,0.10715341118874913,0.004877577844992471,0.0,0.12001323915166072
1,0.10725216835145975,0.004243038220249236,0.0,0.12013713676952745
1,0.10735101653299169,0.004946318592681243,0.0,0.12026117602917688
1,0.10744995581723178,0.004778698704544267,0.0,0.12038535712091587
1,0.10754898628814417,0.011220075373694807,0.0,0.1205096802353662
1,0.10764810802977037,0.005198850277177795,0.0,0.12063414556346534
1,0.10774732112622944,0.006100895562275154,0.0,0.12075875329646699
1,0.10784662566171783,0.004061421233626568,0.0,0.12088350362594168
1,0.1079460217205097,0.010082197192748884,0.0,0.12100839674377757
1,0.10804550938695681,0.006263503393903212,0.0,0.12113343284218098
1,0.10814508874548867,0.004092417608651024,0.0,0.12125861211367707
1,0.10824475988061268,0.006128336113356745,0.0,0.1213839347511106
1,0.10834452287691404,0.0035448895506660096,0.0,0.12150940094764644
1,0.10844437781905594,0.006341222596672742,0.0,0.12163501089677028
1,0.1085443247917796,0.0037260787786173024,0.0,0.12176076479228932
1,0.1086443638799043,0.005331051468700436,0.0,0.1218866628283329
1,0.10874449516832758,0.006234894267708184,0.0,0.12201270519935324
1,0.10884471874202516,0.004573039268380133,0.0,0.12213889210012592
1,0.10894503468605109,0.005745296856690032,0.0,0.12226522372575081
1,0.1090454430855378,0.0033529516682300423,0.0,0.12239170027165248
1,0.10914594402569619,0.005838083192698776,0.0,0.12251832193358106
1,0.10924653759181573,0.008171951679072767,0.0,0.12264508890761283
1,0.10934722386926445,0.004505763073685332,0.0,0.12277200139015092
1,0.10944800294348905,0.004678383621427333,0.0,0.12289905957792592
1,0.10954887490001501,0.005573010531465026,0.0,0.12302626366799663
1,0.10964983982444668,0.003888465607056162,0.0,0.12315361385775081
1,0.10975089780246719,0.005522672290525662,0.0,0.1232811103449056
1,0.10985204891983874,0.005228582611947484,0.0,0.12340875332750852
1,0.10995329326240252,0.004572575856350422,0.0,0.12353654300393792
1,0.11005463091607882,0.007581870123316875,0.0,0.1236644795729037
1,0.11015606196686722,0.004640300106302926,0.0,0.12379256323344828
1,0.11025758650084647,0.0043353031967440165,0.0,0.12392079418494684
1,0.11035920460417463,0.00476920134231169,0.0,0.12404917262710824
1,0.11046091636308925,0.007424335488183705,0.0,0.12417769875997582
1,0.11056272186390728,0.005813724650218178,0.0,0.12430637278392787
1,0.11066462119302531,0.007095301089697226,0.0,0.12443519489967851
1,0.1107666144369195,0.004079902757909897,0.0,0.12456416530827825
1,0.11086870168214571,0.007339714339870038,0.0,0.12469328421111481
1,0.11097088301533961,0.005846731948566926,0.0,0.12482255180991372
1,0.11107315852321661,0.005377512308989342,0.0,0.12495196830673898
1,0.11117552829257224,0.005584444441407017,0.0,0.12508153390399407
1,0.11127799241028183,0.006124423902722827,0.0,0.12521124880442222
1,0.11138055096330088,0.005063126230425207,0.0,0.1253411132111075
1,0.111483204038665,0.006355764438883909,0.0,0.12547112732747523
1,0.11158595172348999,0.006899329101859563,0.0,0.12560129135729287
1,0.11168879410497204,0.00531271944406737,0.0,0.12573160550467077
1,0.11179173127038759,0.005380695454643666,0.0,0.12586206997406274
1,0.1118947633070936,0.006932050183456446,0.0,0.1259926849702668
1,0.11199789030252745,0.007607480603605263,0.0,0.126123450698426
1,0.11210111234420718,0.00463916032688764,0.0,0.126254367364029
1,0.1122044295197315,0.005407207423488399,0.0,0.12638543517291098
1,0.11230784191677982,0.0036108494850348107,0.0,0.1265166543312542
1,0.11241134962311235,0.005951187883132646,0.0,0.12664802504558872
1,0.11251495272657021,0.0034608533272656177,0.0,0.12677954752279325
1,0.11261865131507542,0.005921186006441678,0.0,0.12691122197009577
1,0.11272244547663116,0.004457941795775125,0.0,0.12704304859507443
1,0.1128263352993216,0.00589876163641826,0.0,0.12717502760565805
1,0.11293032087131212,0.006273734639799537,0.0,0.12730715921012697
1,0.11303440228084935,0.005330345910571195,0.0,0.12743944361711382
1,0.11313857961626132,0.007751219196469193,0.0,0.12757188103560424
1,0.1132428529659574,0.0055348846741265015,0.0,0.12770447167493762
1,0.11334722241842844,0.0031191894837168457,0.0,0.1278372157448078
1,0.11345168806224687,0.005811090764263246,0.0,0.1279701134552638
1,0.11355624998606671,0.0065838325381203265,0.0,0.12810316501671068
1,0.1136609082786238,0.005940263709858663,0.0,0.12823637063991022
1,0.11376566302873564,0.005412094499928291,0.0,0.12836973053598172
1,0.11387051432530164,0.008567555323833078,0.0,0.1285032449164026
1,0.11397546225730314,0.0055398737501195375,0.0,0.12863691399300933
1,0.11408050691380346,0.0052850591425043884,0.0,0.12877073797799804
1,0.11418564838394808,0.008638209741278505,0.0,0.1289047170839255
1,0.11429088675696457,0.007532983624829856,0.0,0.1290388515237096
1,0.11439622212216276,0.009031030994981128,0.0,0.1291731415106304
1,0.11450165456893478,0.004805043271175515,0.0,0.12930758725833055
1,0.11460718418675514,0.005850608424055598,0.0,0.1294421889808163
1,0.11471281106518089,0.006921805680600285,0.0,0.12957694689245847
1,0.11481853529385151,0.006153210275157819,0.0,0.12971186120799258
1,0.11492435696248916,0.005763688180383833,0.0,0.12984693214252027
1,0.11503027616089864,0.006254862747456791,0.0,0.1299821599115097
1,0.11513629297896763,0.0061240562391761365,0.0,0.13011754473079656
1,0.11524240750666655,0.007201018550464273,0.0,0.13025308681658462
1,0.11534861983404875,0.004814090840387884,0.0,0.13038878638544663
1,0.11545493005125061,0.004716288179131592,0.0,0.13052464365432515
1,0.11556133824849155,0.006840138284348399,0.0,0.13066065884053316
1,0.1156678445160742,0.004708352935054915,0.0,0.13079683216175514
1,0.11577444894438436,0.00869356567652467,0.0,0.13093316383604756
1,0.11588115162389116,0.0038262521467575176,0.0,0.1310696540818398
1,0.1159879526451471,0.006765750499024858,0.0,0.13120630311793494
1,0.11609485209878807,0.005647074805564192,0.0,0.13134311116351052
1,0.11620185007553367,0.007904997181490774,0.0,0.13148007843811943
1,0.11630894666618696,0.00742222217887604,0.0,0.13161720516169062
1,0.11641614196163472,0.006746687124967139,0.0,0.13175449155452987
1,0.11652343605284751,0.005486268804064901,0.0,0.1318919378373207
1,0.1166308290308797,0.0030393645268049214,0.0,0.13202954423112503
1,0.11673832098686969,0.006270945698058484,0.0,0.1321673109573842
1,0.11684591201203973,0.005457671607011882,0.0,0.13230523823791965
1,0.11695360219769624,0.005344487580427749,0.0,0.13244332629493358
1,0.11706139163522973,0.0057377459147918645,0.0,0.13258157535101003
1,0.11716928041611496,0.005633165554498511,0.0,0.13271998562911555
1,0.11727726863191108,0.003094923519081634,0.0,0.13285855735260013
1,0.1173853563742615,0.006468848829882915,0.0,0.13299729074519784
1,0.11749354373489417,0.00495135137358771,0.0,0.13313618603102773
1,0.11760183080562153,0.00700507422077966,0.0,0.13327524343459476
1,0.11771021767834065,0.007239038417640135,0.0,0.13341446318079048
1,0.11781870444503337,0.006232635801789624,0.0,0.13355384549489394
1,0.1179272911977662,0.0053323182971294555,0.0,0.13369339060257246
1,0.11803597802869056,0.004313754099244551,0.0,0.13383309872988255
1,0.11814476503004279,0.006201543393450847,0.0,0.13397297010327064
1,0.11825365229414421,0.0028781682803044085,0.0,0.13411300494957398
1,0.11836263991340129,0.00633364941850112,0.0,0.13425320349602146
1,0.11847172798030563,0.00559539546646342,0.0,0.1343935659702345
1,0.11858091658743405,0.003610600750829626,0.0,0.1345340926002278
1,0.11869020582744874,0.003935988428167241,0.0,0.1346747836144102
1,0.11879959579309723,0.0054079726911214,0.0,0.13481563924158563
1,0.11890908657721262,0.0042733596400890755,0.0,0.13495665971095386
1,0.1190186782727135,0.005598889874879171,0.0,0.13509784525211138
1,0.11912837097260409,0.005089110805570387,0.0,0.13523919609505222
1,0.11923816476997437,0.006520135230326777,0.0,0.1353807124701689
1,0.11934805975800007,0.005275311050999167,0.0,0.13552239460825313
1,0.11945805602994289,0.0056353392526254245,0.0,0.13566424274049693
1,0.11956815367915036,0.006589052472788104,0.0,0.1358062570984932
1,0.11967835279905611,0.006648500153471697,0.0,0.13594843791423672
1,0.11978865348317987,0.003193227777251347,0.0,0.136090785420125
1,0.11989905582512758,0.005150680614323315,0.0,0.1362332998489593
1,0.12000955991859143,0.005934843540286742,0.0,0.1363759814339452
1,0.12012016585734996,0.006002500612313571,0.0,0.13651883040869367
1,0.12023087373526814,0.005696376360258141,0.0,0.13666184700722198
1,0.12034168364629744,0.010420466023528493,0.0,0.1368050314639544
1,0.12045259568447597,0.00861747042933462,0.0,0.13694838401372333
1,0.12056360994392848,0.003040396433338708,0.0,0.13709190489176998
1,0.12067472651886643,0.005915694077498562,0.0,0.13723559433374524
1,0.12078594550358814,0.0038260341243590624,0.0,0.1373794525757107
1,0.12089726699247888,0.007917286891307823,0.0,0.13752347985413957
1,0.12100869108001086,0.004300102266081769,0.0,0.13766767640591743
1,0.12112021786074337,0.006021720610296523,0.0,0.1378120424683431
1,0.12123184742932283,0.0047698620249208255,0.0,0.13795657827912972
1,0.12134357988048292,0.00626921344828005,0.0,0.13810128407640548
1,0.12145541530904466,0.006309635153494762,0.0,0.13824616009871474
1,0.1215673538099164,0.008557549584462844,0.0,0.1383912065850186
1,0.12167939547809398,0.004057161339849944,0.0,0.13853642377469602
1,0.12179154040866079,0.004401641084991024,0.0,0.13868181190754483
1,0.12190378869678785,0.006169030760833978,0.0,0.13882737122378233
1,0.12201614043773396,0.0043427276994480145,0.0,0.13897310196404658
1,0.1221285957268456,0.005868941217001704,0.0,0.13911900436939695
1,0.12224115465955723,0.0031335990688912616,0.0,0.1392650786813153
1,0.1223538173313912,0.006379867747560444,0.0,0.13941132514170676
1,0.12246658383795787,0.006119166442603949,0.0,0.1395577439929007
1,0.12257945427495587,0.006183941925011603,0.0,0.1397043354776518
1,0.12269242873817185,0.00982239663404424,0.0,0.13985109983914057
1,0.12280550732348085,0.0048505085475852245,0.0,0.13999803732097477
1,0.12291869012684621,0.004300408403311227,0.0,0.14014514816718998
1,0.12303197724431975,0.00484490596601872,0.0,0.14029243262225077
1,0.12314536877204185,0.006908051886266162,0.0,0.14043989093105153
1,0.12325886480624143,0.006480846659648349,0.0,0.14058752333891736
1,0.12337246544323612,0.005935237397320322,0.0,0.14073533009160508
1,0.12348617077943233,0.002855314436501586,0.0,0.14088331143530428
1,0.12359998091132529,0.008504237333195797,0.0,0.14103146761663793
1,0.12371389593549927,0.0026578300346747387,0.0,0.14117979888266385
1,0.12382791594862741,0.007451618394038333,0.0,0.14132830548087516
1,0.12394204104747204,0.005461658642977117,0.0,0.1414769876592015
1,0.12405627132888465,0.004150251281319288,0.0,0.14162584566600991
1,0.12417060688980594,0.0058036139619647665,0.0,0.14177487975010586
1,0.12428504782726608,0.0033775185798618854,0.0,0.14192409016073415
1,0.12439959423838456,0.004626580539742595,0.0,0.1420734771475799
1,0.12451424622037043,0.00467595980289932,0.0,0.14222304096076951
1,0.12462900387052227,0.004638426691272179,0.0,0.14237278185087154
1,0.12474386728622837,0.00798538686213527,0.0,0.1425227000688979
1,0.12485883656496685,0.003851972332999916,0.0,0.14267279586630466
1,0.12497391180430556,0.010221396591731532,0.0,0.14282306949499304
